,isbn_numbers,price_list,book_urls,isbn
0, MPN:Does not apply ISBN:0134555635,$53.39,https://www.ebay.com/itm/254545057420?epid=235613838&_trkparms=ispr%3D1&hash=item3b4411568c%3Ag%3Aq1sAAOSwksZhETTu&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSg3Ye8yTWgOW7pmE1t838dstswIvvns7MIo9wvAM%252F2tyjyDcNojITrh%252BBZl0ihm8BamvECVL%252FT%252BaGkZMAtZnCQn9ivrA5GSfMABNt%252B8sY1stSxBLDkGM4zdBPj4upCqIl9IelLoNk9nztJq97X%252FZqe%252FNQzv4VrfmRLNASJU4wJcWYa1G4PekyH37QfngS2c9emoeVP0o4%252BTTPv%252FlfjQRgGyQqy%252BYHfj4cGKNEYbGRDuiPba%252FjmPDxrSA1RTYut9NXcYZVZMcJLgd9slgqTJDjjAqTGTbXx7URysppGJZvML43Tvg8jIitlQtbKxNQNrGZphvrC64GzsWNZ3B9nxZ%252B7OGNUIAPq0xv9L3KgYYuR8bb0l%252Fo4a5X14fJEGumROod%252BSqeIZmG6vwoQy%252FcZ3bbbmfMxRWo6gwZqzysT%252BlTcq2C8N18uZqQyopBS5LDDRzEK1Sohhe1mju9L9TcNgxpPQchQnz1Z76hqrL88e1hR4fnt6H9ud9gwD5jf2LDH4F8mfhZF%252F1FUIi04cfdz4flhhtH6LYPjYERpL0k%252Ft0SYmo2tUQ85axhrLhpE8p87hh1gRtQXJusU4riog3byXZIMzJIeMT5WINXWtDynGUwhbcANujUYEmgqRIJNXS5KA7adKfgTTojA%252F5rAhR9xQ0hIVWpCbqS3kDNW%252BiHQevnbDyaS8oiT6mzik8Wzd2FWVT2nrc65DRDsScex3bdJLH8kGaYaSeT%252BUhcLZJK8T%252FigNn1XrJxmfgs6amDqmh83ypzIJ%252FuyvQ%252Bj0LpottSWdHX%252FmG76RgBj%252BCxY3bBoenY6ADp3BVti4Y57OETkXNeIy5O%7Cclp%3A2334524%7Ctkp%3ABFBMytrSjtFf&LH_BIN=1,
1," Artist:Kakutani, Michiko ISBN:0525574972",$10.30,https://www.ebay.com/itm/274912524965?epid=21038664395&_trkparms=ispr%3D1&hash=item4002103aa5%3Ag%3AAroAAOSw6GVf%7Er0m&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6ruSUmLH0HAWLatCbCg0f29WwtcOfmMRhL6a7cetuPl3WC5YbUmMvfEqdVn%252FLdqRAkeWiS4FT%252FuBuzZZgWMUDNqiCgGHR7C%252BvM7C0ZPmMf7ZJ0sxeA1JJtwMwG7VpH6p4sub6LW1yAOduOEO4h2RjqKfLKhTVknaGD%252B%252B75LG9m3kH2P%252BsAiqx4eW3pg8MGDtwTpsKt5f%252FF5mH%252B6IU%252BplZOYxH88tYMgKqR5M3XzagkkoKZIzPS28HnNzaLNri1Guyz8bhbg7a31C8It5B0E%252F0NPIs5XorAwgTYTh%252B7zzTFKCUxiIhOpnLy%252FZIPTBeyAJeEjntGuRv1CbEclzUNoaN%252B%252FQbGlHKRCe8XqlMTVbl6Bs8E%252B8rDnT600SY9BXzgW83hLsZrwHLlR50q3bmUleck0NhUvgPufzq7sH5nBj2FWMnBhoDQsKN%252FJ%252BsCScXXy9C3c3EKWFmWTsPdwbwL6406O0xJDXYNd6CPxgeS39ot3sJpDbxALhVcyL%252FCfNVceJrYQ8ABw7zMGAJv0IB%252BNOh1chGt9rLuoMN56Djtd9X42ERb1JurtXXaUOcnXRZ2EYNdoZ66Wso%252BdNrq%252BMqdlyFDNNVZ1%252BNFTFkjWAZqQ8Nh1u16B0tt%252FjJfI%252BrGDWy8UkCYpaiaNCiiil0byRu1MAJSjKEpEp7mW4D04tZ%252F4Jya5S6uxouJ8xOjPV8av3%252BdGZybl%252FwZ24JDu%252BWVB7Jhqb5gTAvmBcnmsl79s3lZn9E8%252BTK8ZPxRATo%252B25e7QE92jZOvlxsNovBeh7Tc3VY0Q%252BxbIgIo0KYNGBI7O6b%252Fu75rJX%7Cclp%3A2334524%7Ctkp%3ABFBMytrSjtFf&LH_BIN=1,
2, Personalized:No ISBN:9780997693768,$25.50,https://www.ebay.com/itm/165294488549?epid=236989957&hash=item267c51bbe5%3Ag%3ALrsAAOSwck9h6t6d&LH_BIN=1,9780997693768
3, ISBN:9781629973296 Publication Year:2016,$24.00,https://www.ebay.com/itm/234389961066?epid=8038720755&hash=item3692baf96a%3Ag%3AEfQAAOSwnwth25a3&LH_BIN=1,9781629973296
4, Subject:Barbering ISBN:9781305100558,$75.00,https://www.ebay.com/itm/353871160614?epid=219177691&hash=item52645d6526%3Ag%3AtuMAAOSw7dth7HPs&LH_BIN=1,9781305100558
5, ISBN:9780133970777,$20.94,https://www.ebay.com/itm/333179777085?epid=210823507&hash=item4d930ff03d%3Ag%3Ab%7EgAAOSwUchaTH-y&LH_BIN=1,9780133970777
6, ISBN:9781629972725 Publication Year:2016,$15.90,https://www.ebay.com/itm/393889694561?epid=11038773149&hash=item5bb5a7c361%3Ag%3ALsMAAOSweDpf%7EqfA&LH_BIN=1,9781629972725
7, Subject Area:Maritime ISBN:9780801894756,$14.95,https://www.ebay.com/itm/294757445083?epid=79608869&hash=item44a0e9addb%3Ag%3A%7EUsAAOSwKGRh7BvA&LH_BIN=1,9780801894756
8, Publication Name:discovering the life span ISBN:9780134556949,$69.99,https://www.ebay.com/itm/363699539925?epid=234976786&hash=item54ae2e8fd5%3Ag%3A49UAAOSwby9f%7EqJF&LH_BIN=1,9780134556949
9, Item Weight:400 g ISBN:9780615889603,$24.00,https://www.ebay.com/itm/144382804751?epid=172107745&hash=item219de2c30f%3Ag%3A%7EBkAAOSwFiNdqQVZ&LH_BIN=1,9780615889603
